product_name,price,rating,review_count,url,score
Rocketfish 1.2m (4ft.) 4K Ultra HD HDMI Cable - Only at Best Buy,39.99,4.43,14,/en-ca/product/rocketfish-1-2m-4ft-4k-ultra-hd-hdmi-cable-only-at-best-buy/10655693,8.258000000000001
"Hisense 65"" 4K UHD HDR LED Roku Smart TV (65R63N) - 2024",499.99,4.92,13,/en-ca/product/hisense-65-4k-uhd-hdr-led-roku-smart-tv-65r63n-2024/17731999,8.152000000000001
"LG C4 65"" C4 Series 4K UHD HDR OLED evo webOS Smart TV (OLED65C4PUA) - 2024",1996.98,4.14,14,/en-ca/product/lg-c4-65-c4-series-4k-uhd-hdr-oled-evo-webos-smart-tv-oled65c4pua-2024/17921979,8.084
"TCL 50"" S4 4K UHD HDR LED Roku OS Smart TV (50S450R-CA)",329.99,2.93,15,/en-ca/product/tcl-50-s4-4k-uhd-hdr-led-roku-os-smart-tv-50s450r-ca/16693230,7.758
"LG 48"" B4 Series 4K UHD HDR OLED webOS Smart TV (OLED48B4PUA) - 2024 - Only at Best Buy",899.99,5.0,10,/en-ca/product/lg-48-b4-series-4k-uhd-hdr-oled-webos-smart-tv-oled48b4pua-2024-only-at-best-buy/17924067,7.0
"LG C4 55"" C4 Series 4K UHD HDR OLED evo webOS Smart TV (OLED55C4PUA) - 2024",1496.98,4.4,10,/en-ca/product/lg-c4-55-c4-series-4k-uhd-hdr-oled-evo-webos-smart-tv-oled55c4pua-2024/17921977,6.640000000000001
"LG C4 77"" C4 Series 4K UHD HDR OLED evo webOS Smart TV (OLED77C4PUA) - 2024",2996.98,4.43,7,/en-ca/product/lg-c4-77-c4-series-4k-uhd-hdr-oled-evo-webos-smart-tv-oled77c4pua-2024/17921975,5.458
Amazon Fire TV Stick HD (2024) Media Streamer with Alexa Voice Remote,49.99,4.83,6,/en-ca/product/amazon-fire-tv-stick-hd-2024-media-streamer-with-alexa-voice-remote/18482969,5.298
"Samsung 40"" 1080p HD HDR LED Tizen Smart TV (UN40F6000FFXZC) - 2025",349.99,4.14,7,/en-ca/product/samsung-40-1080p-hd-hdr-led-tizen-smart-tv-un40f6000ffxzc-2025/19204879,5.284
"TCL 75"" S4 4K UHD HDR LED Roku OS Smart TV (75S450R-CA) - Only at Best Buy",599.99,3.71,7,/en-ca/product/tcl-75-s4-4k-uhd-hdr-led-roku-os-smart-tv-75s450r-ca-only-at-best-buy/16693234,5.026
"Hisense 55"" 4K UHD HDR LED Roku Smart TV (55R63N) - 2024",399.99,4.17,6,/en-ca/product/hisense-55-4k-uhd-hdr-led-roku-smart-tv-55r63n-2024/17731995,4.902
"LG 55"" 4K UHD HDR QNED webOS Smart TV (55QNED85TUA) - 2024",799.99,4.75,4,/en-ca/product/lg-55-4k-uhd-hdr-qned-webos-smart-tv-55qned85tua-2024/17924074,4.45
"Hisense 75"" 4K UHD HDR LED Roku Smart TV (75R63N) - 2024",699.99,3.8,5,/en-ca/product/hisense-75-4k-uhd-hdr-led-roku-smart-tv-75r63n-2024/17732000,4.279999999999999
"Samsung 50"" U7900F Series 4K UHD HDR LED Tizen Smart TV (UN50U7900FFXZC) - 2025",499.99,5.0,3,/en-ca/product/samsung-50-u7900f-series-4k-uhd-hdr-led-tizen-smart-tv-un50u7900ffxzc-2025/19204877,4.2
"TCL 65"" S4 4K UHD HDR LED Roku OS Smart TV (65S450R-CA)",529.99,2.83,6,/en-ca/product/tcl-65-s4-4k-uhd-hdr-led-roku-os-smart-tv-65s450r-ca/16693240,4.098000000000001
"TCL 85"" S4 4K UHD HDR LED Roku TV Smart TV (85S450R-CA) - Only at Best Buy",999.99,4.67,3,/en-ca/product/tcl-85-s4-4k-uhd-hdr-led-roku-tv-smart-tv-85s450r-ca-only-at-best-buy/17977274,4.002000000000001
Hisense PL2 ultra 4K Ultra HD Laser Home Theatre Projector (PL2),2299.99,4.67,3,/en-ca/product/hisense-pl2-ultra-4k-ultra-hd-laser-home-theatre-projector-pl2/18661246,4.002000000000001
"LG 55"" UT7000 Series 4K UHD HDR LED webOS Smart TV (55UT7000PUA) - 2024",546.97,3.2,5,/en-ca/product/lg-55-ut7000-series-4k-uhd-hdr-led-webos-smart-tv-55ut7000pua-2024/18247901,3.92
"LG 50"" 4K UHD HDR QNED webOS Smart TV (50QNED85TUA) - 2024",749.99,5.0,2,/en-ca/product/lg-50-4k-uhd-hdr-qned-webos-smart-tv-50qned85tua-2024/17924075,3.8
"REFURBISHED (Good) - Hisense 50"" 4K UHD HDR QLED Smart Google TV (50QD6N) - 2024",424.99,5.0,2,/en-ca/product/refurbished-good-hisense-50-4k-uhd-hdr-qled-smart-google-tv-50qd6n-2024/19187938,3.8
"Samsung 85"" 4K UHD HDR QLED Tizen Smart TV (QN85Q6FAAFXZC) - 2025",1799.99,4.0,2,/en-ca/product/samsung-85-4k-uhd-hdr-qled-tizen-smart-tv-qn85q6faafxzc-2025/19206126,3.2
"Samsung The Frame 65"" HDR QLED Tizen Smart TV (QN65LS03DAFXZC) - 2024 Open Box 10/10 Condition With 1 Year Warranty",1299.99,1.0,1,/en-ca/product/samsung-the-frame-65-hdr-qled-tizen-smart-tv-qn65ls03dafxzc-2024-open-box-10-10-condition-with-1-year-warranty/17930595,1.0
"Open Box - Sony 55"" 4K UHD HDR LED Smart Google TV (KD55X77L) - 2023 with One Year Warranty",469.99,0.0,0,/en-ca/product/open-box-sony-55-4k-uhd-hdr-led-smart-google-tv-kd55x77l-2023-with-one-year-warranty/17457965,0.0
"Open Box - Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50DU6900FXZC) - 2024",374.99,0.0,0,/en-ca/product/open-box-samsung-50-4k-uhd-hdr-led-tizen-smart-tv-un50du6900fxzc-2024/18170993,0.0
"Open Box - Samsung 75"" 4K UHD HDR LED Tizen Smart TV (UN75DU6900FXZC) - 2024",674.99,0.0,0,/en-ca/product/open-box-samsung-75-4k-uhd-hdr-led-tizen-smart-tv-un75du6900fxzc-2024/18170971,0.0
"LG 86"" UR8000 Series 4K UHD HDR LED webOS Smart TV (86UR8000AUA) - 2025",1299.99,0.0,0,/en-ca/product/lg-86-ur8000-series-4k-uhd-hdr-led-webos-smart-tv-86ur8000aua-2025/19207212,0.0
"Open Box - Hisense 65"" 4K UHD HDR Mini LED QLED Smart Google TV (65U68N) - 2024 - 10/10 Condition with One Year Warranty",529.99,0.0,0,/en-ca/product/open-box-hisense-65-4k-uhd-hdr-mini-led-qled-smart-google-tv-65u68n-2024-10-10-condition-with-one-year-warranty/19312043,0.0
